dataset,numTrain,numTest,seriesLength,numClasses
PigAirwayPressure,104,208,2000,52
PigArtPressure,104,208,2000,52
PigCVP,104,208,2000,52
Plane,105,105,144,7
PowerCons,180,180,144,2
ProximalPhalanxOutlineAgeGroup,400,205,80,3
ProximalPhalanxOutlineCorrect,600,291,80,2
ProximalPhalanxTW,400,205,80,6
RefrigerationDevices,375,375,720,3
Rock,20,50,2844,4
ScreenType,375,375,720,3
SemgHandGenderCh2,300,600,1500,2
SemgHandMovementCh2,450,450,1500,6
SemgHandSubjectCh2,450,450,1500,5
ShapeletSim,20,180,500,2
ShapesAll,600,600,512,60
SmallKitchenAppliances,375,375,720,3
SmoothSubspace,150,150,15,3
SonyAIBORobotSurface1,20,601,70,2
SonyAIBORobotSurface2,27,953,65,2
StarLightCurves,1000,8236,1024,3
Strawberry,613,370,235,2
SwedishLeaf,500,625,128,15
Symbols,25,995,398,6
SyntheticControl,300,300,60,6
ToeSegmentation1,40,228,277,2
ToeSegmentation2,36,130,343,2
Trace,100,100,275,4
TwoLeadECG,23,1139,82,2
TwoPatterns,1000,4000,128,4
UMD,36,144,150,3
UWaveGestureLibraryAll,896,3582,945,8
UWaveGestureLibraryX,896,3582,315,8
UWaveGestureLibraryY,896,3582,315,8
UWaveGestureLibraryZ,896,3582,315,8
Wafer,1000,6164,152,2
Wine,57,54,234,2
WordSynonyms,267,638,270,25
Worms,181,77,900,5
WormsTwoClass,181,77,900,2
Yoga,300,3000,426,2
