dataset,acc_mean,acc_std,acc_best,time_train,time_val
ACSF1,0.908,0.0040000000000000036,0.91,16.627104159999543,0.030811565400004383
Adiac,0.7583147321428572,0.01892835426720105,0.7787388392857143,13.395419879999645,0.020155087899995122
ArrowHead,0.8806349734042553,0.013301964961972203,0.8956117021276595,4.840403339999876,0.011608238599997775
Beef,0.7066666666666667,0.03265986323710907,0.7666666666666667,2.7016590000001086,0.004509479599995302
BeetleFly,0.82,0.024494897427831747,0.85,2.1841160999996645,0.0035665443000013966
BirdChicken,0.9199999999999999,0.024494897427831747,0.95,2.216768439999714,0.0036006480000053214
BME,0.99609375,0.0,0.99609375,2.7134660400001396,0.007940487599999414
Car,0.8933333333333333,0.02708012801545319,0.9333333333333333,5.76525598000062,0.009212930600003801
CBF,0.9990234375,0.0,0.9990234375,2.8183148999997227,0.0362016022999992
Chinatown,0.9844947318007662,0.004051466550691748,0.9895833333333334,1.6666104799995538,0.00891104120000091
ChlorineConcentration,0.83140625,0.012081312690243746,0.84765625,15.087685600000714,0.17893179670000064
CinCECGTorso,0.8231022727272727,0.0072463878505200805,0.8325568181818181,10.001973079999516,0.4773168194000018
Coffee,1.0,0.0,1.0,4.448838360002173,0.0032517423999902347
Computers,0.7917904713114755,0.026416828844153535,0.8320952868852459,20.231845179999617,0.03954028630000539
CricketX,0.85859375,0.00600089511552235,0.865234375,20.538426639999123,0.03116031680000015
CricketY,0.84765625,0.008468548198702656,0.857421875,19.923427179998452,0.030311150200001517
CricketZ,0.8384114583333334,0.004555431167847891,0.8470052083333334,19.699840740000308,0.030031961499993032
Crop,0.7718868371212121,0.01126234747196929,0.779592803030303,109.2073214199967,0.38457359080000425
DiatomSizeReduction,0.9415208333333334,0.012712533458931167,0.956875,1.9230236600013086,0.024967983500011542
DistalPhalanxOutlineAgeGroup,0.865625,0.007654655446197431,0.87890625,8.445627879999847,0.006332310100006908
DistalPhalanxOutlineCorrect,0.8025,0.012127254944957705,0.8250000000000001,11.030887500000244,0.009349266800009899
DistalPhalanxTW,0.641903409090909,0.04272747578378975,0.7112926136363636,8.464432420001504,0.006371390600009364
Earthquakes,0.7251420454545455,0.036679646071771425,0.7958096590909092,20.047555559995818,0.01730882979998023
ECG200,0.8939999999999999,0.022449944320643667,0.93,2.1412460200022907,0.0034470815000113364
ECG5000,0.9358246527777778,0.001864319826714496,0.9379774305555555,12.839278579999336,0.17141882899999838
ECGFiveDays,0.9993303571428571,0.0013392857142857206,1.0,2.387329319998753,0.03143485659999442
ElectricDevices,0.7365877842411422,0.008566460753825864,0.7499793429402433,170.78006957999986,0.2262057985000138
EOGHorizontalSignal,0.6423349056603773,0.03406949003017515,0.698064072327044,45.99590791999744,0.09192457350001132
EOGVerticalSignal,0.49144064465408804,0.015541320218368843,0.5097287735849056,46.01070776000124,0.0919397894999729
EthanolLevel,0.908081896551724,0.00914336420878614,0.9253098060344828,88.01417007999571,0.17461023920002935
FaceAll,0.8450120192307693,0.02610335709682914,0.8929429945054945,16.241484540000055,0.06187124470000617
FaceFour,0.95,0.0055670221426890355,0.9545454545454546,1.9832434600011766,0.007568460500016955
FacesUCR,0.9595588235294116,0.0037560324892835424,0.9641544117647058,5.30376312000044,0.07533047190001525
FiftyWords,0.778818221830986,0.006857886611316991,0.7877970950704225,19.636547439998687,0.029816218200012366
Fish,0.9875,0.002923169833417142,0.9921875,10.458841159999611,0.01881198489999133
FordA,0.9605681818181818,0.0028189492173650017,0.9644886363636364,204.47307924000324,0.142616775699983
FordB,0.8568452380952382,0.01240045148539936,0.874734268707483,206.58712828000316,0.08815680879997308
FreezerRegularTrain,0.9974864130434783,0.0006656222127128117,0.998641304347826,10.046760199998971,0.20057373929999084
FreezerSmallTrain,0.8383951406649617,0.05554433350553587,0.9064897698209718,4.788379700002042,0.20079767609993904
Fungi,0.948895474137931,0.016978951429216748,0.9718480603448276,2.5495052200003556,0.010264821099995968
GunPoint,0.996875,0.0015625,1.0,1.9407795199975226,0.007961705800029448
GunPointAgeSpan,0.9695486111111112,0.013639072752777395,0.9840277777777778,5.1540701800066016,0.013162813799994183
GunPointMaleVersusFemale,0.9994791666666668,0.001041666666666652,1.0,5.166548239997792,0.013211699600005886
GunPointOldVersusYoung,1.0,0.0,1.0,5.157238840005084,0.013198753799984841
Ham,0.76,0.04719813978424329,0.819047619047619,5.581526059994576,0.01053215390002333
HandOutlines,0.9568804824561404,0.0056094722535355605,0.9642269736842105,267.81821487999844,0.19651144110002858
Haptics,0.5036458333333333,0.01630289020773845,0.5338541666666666,19.13846585999054,0.06863252970003123
Herring,0.628125,0.05711145900780333,0.734375,5.001663439999175,0.007755555499978073
HouseTwenty,0.946218487394958,0.008569780695113926,0.957983193277311,11.333231039998282,0.046496177099974376
InlineSkate,0.4721875,0.018409697510571643,0.4896381578947368,20.48449962000268,0.20567457849999848
InsectEPGRegularTrain,1.0,0.0,1.0,5.626910920001319,0.031311190900036305
InsectEPGSmallTrain,1.0,0.0,1.0,2.373408880001807,0.031010820799987415
InsectWingbeatSound,0.6053776041666667,0.012666205949937491,0.6215169270833333,8.877393939995454,0.11752650440002617
ItalyPowerDemand,0.9644097222222223,0.002905069536576667,0.96875,1.68134098000628,0.025334026499989705
LargeKitchenAppliances,0.8782387955182074,0.010044075484546541,0.891062675070028,28.66995593999127,0.055807656799976034
Lightning2,0.7770491803278687,0.026636191490609702,0.8032786885245902,5.785149940001065,0.009262442300005204
Lightning7,0.8054794520547945,0.026562629355705938,0.8356164383561644,3.6404952400040202,0.006085517500023343
Mallat,0.9587191110397946,0.005701930860845269,0.9678774871630296,8.022904399998879,0.484034166799991
Meat,0.89,0.029059326290271165,0.9333333333333333,4.211029960000087,0.006688501499969789
MedicalImages,0.7789583333333333,0.008605158672972697,0.7947048611111112,7.853076419995341,0.023151188300002103
MiddlePhalanxOutlineAgeGroup,0.7483774038461538,0.007122345055803963,0.7584134615384616,8.478391639996335,0.006073820399989927
MiddlePhalanxOutlineCorrect,0.8339285714285716,0.026553682510095246,0.8663690476190476,11.02653319999481,0.009375260399976468
MiddlePhalanxTW,0.6228966346153847,0.01437416586530241,0.6391225961538461,8.401645819996338,0.0060666381000028195
MixedShapesRegularTrain,0.9726926109177902,0.0019397446704421356,0.9757401315789473,52.454128720001606,0.49981215309999427
MixedShapesSmallTrain,0.9139184156154849,0.006756960665802667,0.9214162407568508,11.372070200005329,0.49943618010000135
MoteStrain,0.87328125,0.008161289152149963,0.8874375000000001,1.7920573400089779,0.034709686499985765
NonInvasiveFetalECGThorax1,0.9472591145833335,0.00294703422871224,0.95068359375,144.10429649999315,0.30504442439996093
NonInvasiveFetalECGThorax2,0.9548459201388889,0.0023311635580871275,0.9575954861111111,145.9238334600006,0.3089735844000097
OliveOil,0.7533333333333334,0.01632993161855457,0.7666666666666667,3.1509984600081227,0.005060411799975554
OSULeaf,0.9509320175438598,0.007358678561154687,0.9624451754385965,11.648670640012279,0.024283640800033028
PhalangesOutlinesCorrect,0.8273710317460319,0.010290747336387714,0.840327380952381,35.054071859978286,0.023834908300035748
Phoneme,0.30479967948717945,0.013653465257417369,0.318349358974359,24.241212899995297,0.401362715399995
PigAirwayPressure,0.71765625,0.039145536742711824,0.7515625,22.123097780017268,0.08173778440001479
PigArtPressure,0.99609375,0.0,0.99609375,22.111545420002223,0.08172264879997236
PigCVP,0.921875,0.009270248108869564,0.9359375,22.11005164000526,0.08175225439995848
Plane,0.9980952380952381,0.003809523809523796,1.0,2.8292175399823463,0.004662888399943768
PowerCons,0.9921875,0.004941058844013093,1.0,5.142322679991776,0.007867682100015372
ProximalPhalanxOutlineAgeGroup,0.876369724025974,0.007411588266019639,0.884182224025974,8.446174139995128,0.0063663675000098004
ProximalPhalanxOutlineCorrect,0.9080803571428572,0.007921168832603085,0.9219494047619047,11.017812200009212,0.009382230399995025
ProximalPhalanxTW,0.8135349025974026,0.017847443776103127,0.836140422077922,8.460167699999875,0.0063886118999253085
RefrigerationDevices,0.42896095938375345,0.07245775278640605,0.5609900210084033,28.877854579999983,0.05603911289999815
Rock,0.624,0.10762899237658968,0.72,8.300904840000294,0.028306946699914987
ScreenType,0.4886904761904762,0.07426930999470308,0.5805103291316526,28.781743560018366,0.055919911999910255
SemgHandGenderCh2,0.8900284090909091,0.007880847723887837,0.9053977272727274,48.19793009998466,0.17957033210002918
SemgHandMovementCh2,0.5792258522727272,0.04498421602269712,0.635061553030303,71.65810901999285,0.13481590449997022
SemgHandSubjectCh2,0.7129734848484849,0.02627586558636572,0.7363873106060606,71.67696826000538,0.13478618979999374
ShapeletSim,0.9274639423076924,0.023465682021002472,0.96484375,2.238097380000545,0.019910860700056217
ShapesAll,0.8992897727272726,0.006522964835711887,0.9103693181818182,35.290379020013646,0.06557520799999839
SmallKitchenAppliances,0.7841999299719887,0.0070665266193187465,0.7927389705882352,28.769558639990283,0.055935507599999254
SmoothSubspace,0.9860795454545455,0.012463223922499152,0.99609375,3.229221819996019,0.005616407299989077
SonyAIBORobotSurface1,0.7918398876404494,0.11357023161026299,0.8878862359550561,1.7103247800034296,0.016395203700030836
SonyAIBORobotSurface2,0.9482010690789473,0.006484708374245917,0.9558148300438596,1.8544392999901902,0.024546012500028157
StarLightCurves,0.978861451048951,0.0017761056878729537,0.9816215034965035,106.00534854000799,1.7057311861999989
Strawberry,0.9796966374269006,0.004319848426932473,0.9840551900584794,23.437933700022406,0.021334287799963932
SwedishLeaf,0.9670658185840708,0.004445733016610084,0.9757328539823009,11.461242039995705,0.022418735700051914
Symbols,0.980172821969697,0.0026245774536429495,0.9838028724747475,2.4034590600080263,0.08827487240003029
SyntheticControl,0.996875,0.0010416666666666961,0.9973958333333334,6.215523680006299,0.009089893199994549
ToeSegmentation1,0.96409375,0.004417649261768075,0.9715625,5.735605299990129,0.0153975556000114
ToeSegmentation2,0.971875,0.004555431167847891,0.9765625,2.5403646799917623,0.013257889400036221
Trace,1.0,0.0,1.0,4.272378139996727,0.006808594600042852
TwoLeadECG,0.996334541062802,0.001411340857151286,0.9982638888888888,1.9178326600020228,0.03095281039998372
TwoPatterns,1.0,0.0,1.0,22.854291879983066,0.14195975630000976
UMD,0.9953125,0.0015625,0.99609375,3.224822419998236,0.007796713400082808
UWaveGestureLibraryAll,0.932172973356009,0.0026470897688996055,0.9355203018707483,88.08739967999645,0.6986770404000707
UWaveGestureLibraryX,0.8193487811791383,0.011299109818395903,0.8336389243197279,44.05178326000023,0.2626298590999104
UWaveGestureLibraryY,0.7610234197845804,0.01069350325082529,0.7741284013605442,44.051841999999304,0.2625627576999504
UWaveGestureLibraryZ,0.7610110189909298,0.005076555383850423,0.77000070861678,44.07358264000504,0.26256564940002136
Wafer,0.9989795918367348,0.00037187193206919767,0.9995216836734694,27.046435680001014,0.2484863907999097
Wine,0.8074074074074075,0.03813196348513706,0.8518518518518519,2.5093316200072877,0.0040404618000793565
WordSynonyms,0.6984970238095237,0.007842834469525467,0.7100942460317461,13.595762660000037,0.04098288499999399
Worms,0.8,0.013244206528812431,0.8181818181818182,19.187531720004337,0.015135574100051601
WormsTwoClass,0.781818181818182,0.020779220779220786,0.8181818181818182,19.19273045999653,0.01514879240004666
Yoga,0.8842354910714285,0.008118071850239661,0.8935081845238094,16.632272520001425,0.292796169100031
