dataset,acc_mean,acc_std,acc_best,time_train,time_val
ACSF1,0.882,0.009797958971132722,0.89,1.1677166800000123,1.138068740000108
Adiac,0.8,0.004959263281244329,0.8056265984654731,1.3633598399997935,1.1917850800001362
ArrowHead,0.8068571428571429,0.009142857142857156,0.8171428571428572,1.1748735600001055,1.1645718400001897
Beef,0.8,0.0,0.8,1.1971640999998272,1.136823799999911
BeetleFly,0.9,0.0,0.9,1.1969168799998442,1.1396897400000854
BirdChicken,0.89,0.020000000000000018,0.9,1.186125059999813,1.129939160000049
BME,1.0,0.0,1.0,1.1713687599999503,1.1572951199999808
Car,0.9166666666666666,0.0,0.9166666666666666,1.1858816199998727,1.133047699999952
CBF,1.0,0.0,1.0,1.2071916799999598,1.2258541400002287
Chinatown,0.97667638483965,1.1102230246251565e-16,0.9766763848396501,1.1625341200001458,1.171662599999945
ChlorineConcentration,0.80953125,0.005552679377011523,0.8174479166666667,1.3968275999998696,1.45694282000004
CinCECGTorso,0.8263768115942028,0.00503297256643052,0.8311594202898551,1.1911357600001793,1.760989019999852
Coffee,1.0,0.0,1.0,1.1931396599999062,1.1339578399999481
Computers,0.7608,0.005306599664568644,0.768,1.2934736600001087,1.1672152000000096
CricketX,0.8287179487179488,0.004411448854893683,0.8358974358974359,1.3547477400001298,1.1830076800000824
CricketY,0.8564102564102564,0.0016216808513683939,0.8589743589743589,1.3551251000000777,1.194485000000077
CricketZ,0.857948717948718,0.002614881801842475,0.8615384615384616,1.3939852600003177,1.1929056800001492
Crop,0.763,0.0008114472946643747,0.7641666666666667,44.80088087999993,2.8582007000000886
DiatomSizeReduction,0.9745098039215685,0.0013071895424836555,0.9771241830065359,1.1801351600001,1.1986704399999326
DistalPhalanxOutlineAgeGroup,0.7582733812949641,0.005755395683453251,0.762589928057554,1.3982370799998534,1.1722276199999215
DistalPhalanxOutlineCorrect,0.7731884057971015,0.005422691864889795,0.782608695652174,1.4590930799999116,1.1851825200001258
DistalPhalanxTW,0.716546762589928,0.007336718724593955,0.7266187050359713,1.3553324800001065,1.16717432000014
Earthquakes,0.7482014388489209,0.0,0.7482014388489209,1.33357451999982,1.1803397399999995
ECG200,0.906,0.00489897948556636,0.91,1.2226210799998625,1.1476210400001037
ECG5000,0.9468444444444444,0.000494912387807141,0.9475555555555556,1.423180560000037,1.4805835599998318
